subject,context,task,block,n_trials,bias,variability
Subject 6,Short,Reproduction,3,60,0.00522431354771415,0.207016010900831
Subject 6,Short,Reproduction,5,60,-0.0558721169017408,0.213935595331604
Subject 6,Short,Reproduction,7,60,-0.0493919831178791,0.228678598227402
Subject 6,Short,Reproduction,9,60,-0.0459576309520866,0.212482307557231
Subject 6,Short,Reproduction,11,60,-0.0154029318852954,0.204310718504408
Subject 1,Long,Reproduction,1,60,0.00228684472365042,0.168204561234407
Subject 1,Long,Reproduction,3,60,0.0375539129384426,0.188492177863735
Subject 1,Long,Reproduction,5,59,0.122931055981376,0.188661668795211
Subject 1,Long,Reproduction,7,60,0.0776366311783069,0.16997312914202
Subject 1,Long,Reproduction,9,60,0.0577415133707944,0.174060817410577
Subject 1,Long,Reproduction,11,60,0.0719375500666852,0.242161271692352
Subject 2,Long,Reproduction,1,60,0.00498801385575026,0.14155589701313
Subject 2,Long,Reproduction,3,60,-0.0460088098016314,0.11556638546116
Subject 2,Long,Reproduction,5,60,-0.00821989493193678,0.118510304024248
Subject 2,Long,Reproduction,7,60,-0.0110357381502534,0.108739779980121
Subject 2,Long,Reproduction,9,60,-0.0444294303133831,0.136294165033421
Subject 2,Long,Reproduction,11,60,-0.0554032783414139,0.137034605857386
Subject 3,Long,Reproduction,1,60,0.0454447668276515,0.137998530937803
Subject 3,Long,Reproduction,3,60,0.000600501514453339,0.13889534523242
Subject 3,Long,Reproduction,5,60,-0.0113769597841639,0.121984601461684
Subject 3,Long,Reproduction,7,60,0.00780262850049004,0.128998404303792
Subject 3,Long,Reproduction,9,60,-0.0266043364538092,0.152285915832708
Subject 3,Long,Reproduction,11,59,-0.0133811385144205,0.12280634865249
Subject 4,Long,Reproduction,1,60,-0.0334738070360753,0.189591479794152
Subject 4,Long,Reproduction,3,60,-0.0222541248845071,0.159360529708081
Subject 4,Long,Reproduction,5,60,0.0507291112840041,0.172064852898483
Subject 4,Long,Reproduction,7,60,0.0146886153813938,0.182116394463657
Subject 4,Long,Reproduction,9,60,0.0369023083173535,0.19959115962333
Subject 4,Long,Reproduction,11,59,0.0424640541228781,0.16853358487036
Subject 5,Long,Reproduction,1,60,0.0870616167830169,0.206801112019091
Subject 5,Long,Reproduction,3,60,0.157151557285189,0.243731648887317
Subject 5,Long,Reproduction,5,60,0.135264053852769,0.254575486947505
Subject 5,Long,Reproduction,7,60,0.127921089449748,0.304118966243195
Subject 5,Long,Reproduction,9,58,0.149379850409316,0.296568844555522
Subject 5,Long,Reproduction,11,59,0.0743178622227386,0.229247687595852
Subject 6,Long,Reproduction,1,60,0.0647381601038176,0.195294461564275
Subject 6,Long,Reproduction,3,60,0.145648675208005,0.240232345627207
Subject 6,Long,Reproduction,5,60,0.1639847888745,0.25246227429455
Subject 6,Long,Reproduction,7,60,0.0840277390979327,0.212172797126053
