subject,sigma_absolute_reproduction_only,sigma_motor_reproduction_only,sigma_absolute_joint_H1,sigma_relative_joint_H1,sigma_absolute_joint_H2,sigma_relative_joint_H2
Subject 1,0.161594996273198,0.151812563797486,0.193018519280821,0.0777862752356163,0.17861541291474,0.100758955771711
Subject 2,0.104673377981162,0.0835905856680898,0.118602398931155,0.0689909274914203,0.115795312064388,0.0695749653859521
Subject 3,0.111875556484126,0.0946380030484306,0.117867254906836,0.0555675547253391,0.109505381337931,0.0756320614656367
Subject 4,0.173539718961778,0.113939276346909,0.178791649953228,0.0517673679543618,0.165593370813057,0.0772752521069349
Subject 5,0.214192880528439,0.258890223836814,0.27079326663183,0.0937916118702559,0.251645039588677,0.11836852516927
Subject 6,0.208744108373617,0.175128586850121,0.261528463914848,0.113721606454555,0.244824017508424,0.132406921955037
