context,task,n_trials,mean,sd,median
Short,reproduction,1799,1.03850778050618,0.23580737972915,1.01245088805445
Short,relative position,1798,0.472644038609406,0.246718970513226,0.472646610323921
Long,reproduction,1794,1.24986909145554,0.245588490700884,1.2520360974595
Long,relative position,1796,0.492333941152134,0.239005640773745,0.497480626126112
