subject,deviation_short,deviation_long,shift,deviation_short_naive,deviation_long_naive,shift_naive
Subject 1,-0.0614733021600001,-0.00906166960730365,0.0524116325526965,-0.0420485658944826,-0.0284864058728148,0.0135621600216678
Subject 2,-0.023298633291384,0.0780718787228128,0.101370512014197,-0.00964342881059866,0.0644166742420331,0.0740601030526318
Subject 3,-0.0318841083730385,-0.00123465839464689,0.0306494499783916,-0.0166830415544176,-0.016435725213262,0.000247316341155612
Subject 4,-0.00397027986333386,0.0259438746158358,0.0299141544791696,0.0105565554937377,0.0114170392587698,0.00086048376503208
Subject 5,-0.0879309349861509,-0.019727005638632,0.0682039293475188,-0.0778587596458236,-0.0297991809789543,0.0480595786668693
Subject 6,-0.0554440454251624,0.0460948960706651,0.101538941495827,-0.0383196999688699,0.0289705506143792,0.0672902505832491
